"Locacion","Mes","Ano","ICC"
"ITA",10,2019,100.3791
"ITA",11,2019,100.4293
"ITA",12,2019,100.5821
"ITA",1,2020,100.5045
"ITA",2,2020,99.92011
"ITA",3,2020,98.97895
"ITA",4,2020,98.52312
"ITA",5,2020,98.66161
"ITA",6,2020,99.30588
"ITA",7,2020,99.71242
"ITA",8,2020,99.93871
"ITA",9,2020,99.95824
"ITA",10,2020,99.67339
"ITA",11,2020,99.50745
"ITA",12,2020,99.81211
"ITA",1,2021,100.1826
"ITA",2,2021,100.5622
"ITA",3,2021,100.9779
"ITA",4,2021,101.5864
"ITA",5,2021,102.3648
"ITA",6,2021,102.9537
"ITA",7,2021,103.1288
"ITA",8,2021,103.0093
"ITA",9,2021,102.9093
"ITA",10,2021,102.7933
"ITA",11,2021,102.5083
"ITA",12,2021,102.0598
"ITA",1,2022,101.2321
"ITA",2,2022,100.1165
"ITA",3,2022,98.7692
"ITA",4,2022,98.08763
"ITA",5,2022,97.72804
"ITA",6,2022,97.29221
"ITA",7,2022,96.68706
"DEU",1,2017,101.468
"DEU",2,2017,101.4184
"DEU",3,2017,101.5041
"DEU",4,2017,101.6876
"DEU",5,2017,101.8766
"DEU",6,2017,102.0059
"DEU",7,2017,102.0124
"DEU",8,2017,101.9309
"DEU",9,2017,101.8875
"DEU",10,2017,101.9151
"DEU",11,2017,101.9562
"DEU",12,2017,102.0189
"DEU",1,2018,102.0951
"DEU",2,2018,102.0978
"DEU",3,2018,102.0307
"DEU",4,2018,101.9441
"DEU",5,2018,101.8592
"DEU",6,2018,101.7725
"DEU",7,2018,101.6796
"DEU",8,2018,101.6615
"DEU",9,2018,101.6507
"DEU",10,2018,101.6125
"DEU",11,2018,101.5766
"DEU",12,2018,101.5521
"DEU",1,2019,101.5638
"DEU",2,2019,101.5741
"DEU",3,2019,101.574
"DEU",4,2019,101.511
"DEU",5,2019,101.371
"DEU",6,2019,101.1806
"DEU",7,2019,101.0236
"DEU",8,2019,100.9245
"DEU",9,2019,100.9242
"DEU",10,2019,100.933
"DEU",11,2019,101.038
"DEU",12,2019,101.0443
"DEU",1,2020,100.9426
"DEU",2,2020,100.5351
"DEU",3,2020,99.67995
"DEU",4,2020,98.84225
"DEU",5,2020,98.74178
"DEU",6,2020,99.1649
"DEU",7,2020,99.59703
"DEU",8,2020,99.90456
"DEU",9,2020,99.96408
"DEU",10,2020,99.78462
"DEU",11,2020,99.55039
"DEU",12,2020,99.39102
"DEU",1,2021,99.28835
"DEU",2,2021,99.46095
"DEU",3,2021,99.7914
"DEU",4,2021,100.145
"DEU",5,2021,100.7143
"DEU",6,2021,101.2156
"DEU",7,2021,101.3633
"DEU",8,2021,101.3504
"DEU",9,2021,101.3533
"DEU",10,2021,101.1558
"DEU",11,2021,100.8214
"DEU",12,2021,100.5224
"DEU",1,2022,100.2812
"DEU",2,2022,99.75761
"DEU",3,2022,98.87852
"DEU",4,2022,98.15732
"DEU",5,2022,97.71059
"DEU",6,2022,97.24272
"DEU",7,2022,96.6154
