"Sexo","Ingreso","Logro","LEN","NEM"
"Hombre","PTU",0.368421052631579,569,582
"Hombre","PTU",0.552631578947368,488,604
"Hombre","Otras",0.552631578947368,438,768
"Hombre","PTU",0.368421052631579,440,687
"Mujer","Otras",0.447368421052632,483,742
"Mujer","PTU",0.263157894736842,515,665
"Hombre","PTU",0.421052631578947,574,423
"Hombre","PTU",0.421052631578947,595,545
"Hombre","PTU",0.263157894736842,456,447
"Mujer","Otras",0.368421052631579,372,572
"Mujer","PTU",0.394736842105263,584,593
"Mujer","Otras",0.552631578947368,540,731
"Hombre","PTU",0.289473684210526,448,622
"Hombre","PTU",0.5,521,568
"Hombre","Otras",0.184210526315789,428,724
"Hombre","PTU",0.342105263157895,473,545
"Hombre","PTU",0.263157894736842,463,347
"Mujer","PTU",0.315789473684211,502,538
"Hombre","PTU",0.605263157894737,559,659
"Mujer","PTU",0.473684210526316,535,550
"Hombre","PTU",0.447368421052632,468,579
"Hombre","PTU",0.157894736842105,458,513
"Hombre","PTU",0.263157894736842,384,633
"Mujer","PTU",0.631578947368421,458,579
"Mujer","PTU",0.447368421052632,589,384
"Mujer","PTU",0.5,507,691
"Mujer","PTU",0.473684210526316,559,599
"Mujer","Otras",0.473684210526316,468,616
"Mujer","PTU",0.631578947368421,530,786
"Hombre","PTU",0.421052631578947,473,506
"Hombre","Otras",0.289473684210526,502,534
"Hombre","PTU",0.210526315789474,423,363
"Mujer","Otras",0.184210526315789,473,401
"Hombre","PTU",0.184210526315789,468,528
"Hombre","PTU",0.447368421052632,458,626
"Mujer","PTU",0.473684210526316,606,579
"Mujer","PTU",0.394736842105263,478,616
"Mujer","PTU",0.578947368421053,458,567
"Hombre","PTU",0.394736842105263,569,648
"Hombre","PTU",0.131578947368421,564,545
"Hombre","PTU",0.473684210526316,507,435
"Hombre","PTU",0.0789473684210526,438,633
"Hombre","PTU",0.263157894736842,468,709
"Mujer","Otras",0.210526315789474,303,633
"Hombre","PTU",0.473684210526316,492,571
"Hombre","Otras",0.394736842105263,473,556
"Hombre","PTU",0.578947368421053,595,665
"Mujer","PTU",0.447368421052632,556,593
"Hombre","PTU",0.5,554,578
"Hombre","PTU",0.315789473684211,530,459
"Hombre","PTU",0.447368421052632,579,478
"Mujer","Otras",0.157894736842105,333,616
"Hombre","PTU",0.605263157894737,675,568
"Mujer","PTU",0.447368421052632,507,610
"Mujer","PTU",0.5,584,659
