"Periodo","Generacion","Indice","Electricidad","Gas","Agua","IndiceDesestacionalizado"
2018-01-01,6570.42402607893,104.01266123882,103.16688634459,86.309408289768,113.27987375835,99.080851982647
2018-02-01,6028.81397031928,98.14132674124,95.468099517775,88.339497461755,110.97622861446,100.01443102488
2018-03-01,6545.07770879958,103.47023546659,101.48792898721,101.9858509613,110.92550929972,99.510356592223
2018-04-01,6130.62731984744,98.432743232613,96.399594758973,103.30023384047,103.80087524912,99.917051697995
2018-05-01,6500.15953810793,102.0784972268,100.67917435099,118.73665260454,101.02810019512,100.31612019577
2018-06-01,6545.17025029989,102.14507084428,102.29292785342,126.65275192896,92.890186196704,101.11059377765
2018-07-01,6684.89491280327,102.81392668468,104.22640819119,128.47369248143,88.729771186056,101.02166438562
2018-08-01,6540.60172238119,100.52747307918,102.57753606497,118.93323360659,86.802098068929,100.42873798965
2018-09-01,6058.75493022357,94.340706420214,95.254941701203,91.463130858858,92.172453086613,100.74655703237
2018-10-01,6356.19599346723,96.072433369778,98.444076063392,81.039678654177,93.146085361284,99.321965395906
2018-11-01,6279.97838666094,96.908716078938,98.293475403697,74.521930614232,100.05255658613,100.20326191958
2018-12-01,6492.11128292606,101.05620961684,101.70895076256,80.243938697896,106.19626239747,99.813451962715
2019-01-01,6542.3,105.07788853928,103.3671683071,99.467063798006,113.05555706944,100.2413810891
2019-02-01,5982.2,99.627461978751,96.279533536742,92.752004564761,113.77630683921,101.40283689408
2019-03-01,6625.8,105.49839154334,103.12874521546,109.3586407907,112.40135360676,101.6879724503
2019-04-01,6190.8,100.6709526063,97.625686097471,118.06251164745,105.10984709585,101.96938945931
2019-05-01,6578.2,102.27883415324,102.79291588496,101.77292018765,100.6630608781,100.3400254087
2019-06-01,6448.1,100.0374642589,101.78212382156,101.96996428883,93.252731891551,99.381317069619
2019-07-01,6796.5,103.48132395527,105.9088257277,116.75820834297,90.265925190854,101.00697556629
2019-08-01,6598,100.17501915787,103.60384261912,98.139599317584,88.920732996815,100.25091731291
2019-09-01,6107,94.734900155194,96.057652268666,82.818803642073,94.362034170295,100.75323842089
2019-10-01,6257.8,95.491904141648,96.749603256592,84.932067106198,94.862749620735,98.769109451775
2019-11-01,6310,97.186275826093,98.789333262314,74.971583922015,99.506040620941,100.74028828403
2019-12-01,6786.4,102.22685433197,104.63907160215,67.286776252343,106.25675597561,100.51673833694
2020-01-01,6798.2,105.82963739628,107.30366325085,69.822875266362,113.51783028473,101.20175311329
2020-02-01,6368.2,101.31139343234,101.59984199114,67.074871985539,112.51070930786,100.85086570306
2020-03-01,6764.5,103.87700564488,105.12580368268,75.035832120642,109.79721422153,99.776103352547
2020-04-01,6181.5,97.292721388435,97.841533301882,76.478097488206,102.79673313429,98.345392285947
2020-05-01,6406.2,99.554491872839,100.27743013614,100.8483434304,96.567279818665,98.247187181394
2020-06-01,6419.1,98.693437358833,99.399817942008,115.82601200192,90.11673385,97.761347714542
2020-07-01,6477.7,99.183074859949,101.38489708439,114.74660341776,85.94087186644,96.853135292398
2020-08-01,6452,98.712851566876,101.30265323776,112.03964766956,84.912594431063,98.682633030427
2020-09-01,6163.1,93.964044530236,95.969308057495,90.573059520947,88.166887824529,98.857075888255
2020-10-01,6436.9,96.397708210233,99.446020624716,75.699886189355,93.127029225267,100.07762865873
2020-11-01,6358.1,96.721510051761,98.709679213381,63.262735242302,101.70483717599,100.07427402826
2020-12-01,6873.3,103.45357604451,105.93328787957,71.864975334283,106.05267838644,101.5518326603
2021-01-01,6768.8,104.89748832233,106.18422588689,71.370655362008,112.35582482634,101.34062324471
2021-02-01,6170.4,97.278336189393,97.127365176168,66.79689126415,108.67406370757,99.107755774114
2021-03-01,6974.7,106.15771945038,107.34632811919,92.404831946148,106.90845253587,101.55868137316
2021-04-01,6523.1,102.43575528513,102.20848649726,103.09185907731,102.99587762166,103.34829703387
2021-05-01,6877.5,104.74371578677,106.15568396558,111.05803048858,97.559030439449,102.88651001419
2021-06-01,6781.7,102.52485788717,104.72762966415,107.99967849473,92.876495281356,101.86692361941
2021-07-01,7134.8,107.54050001008,110.46017866993,122.39513879336,92.042923665449,105.43622835007
2021-08-01,7044.6,107.08338907973,110.00363452268,121.32700597032,91.801694068426,106.65250738971
2021-09-01,6527,100.12426420911,102.27948169815,99.484577877543,92.822197450244,105.31944168259
2021-10-01,6797.8,101.58050244469,104.86188534929,87.426833704308,95.162157946304,105.92174610749
2021-11-01,6715,101.40230195284,104.19582012335,69.87272406553,102.88394657378,104.96186435063
2021-12-01,7122.2,107.21615212592,110.27770144321,73.691159722184,108.47278927254,104.71847592944
2022-01-01,7055.2,107.67008286914,110.47350183528,68.399207407594,111.8773170172,103.8707871453
2022-02-01,6522.8,101.31910671451,102.68915132579,65.685003924874,109.23772856068,103.41586666574
2022-03-01,7136.5,107.52666583761,110.23240571988,79.668789843775,108.00584447421,102.85772409563
2022-04-01,6673.6,102.79159435652,104.23081069949,83.20152348039,104.74798993085,103.90149294473
2022-05-01,7131.9,107.69076741843,109.98435037579,108.69063421597,99.320675924433,104.94944450895
2022-06-01,7065.3,107.46834988154,110.38623414715,118.7733822123,93.242665462672,106.71672312683
2022-07-01,7229.7,108.31356758499,113.04335586061,112.28803764355,90.370976048105,106.18804910219
2022-08-01,7043.3,105.68691628841,110.32121155511,111.52674572599,87.412870009003,105.14905236676
2022-09-01,6571.6,100.07467562659,103.32405288245,96.067744905135,90.150307341486,105.66749218625
2022-10-01,6741.1,100.0304517009,104.746310895,72.112937582959,93.507706546476,104.6360868173
