"Periodo","AmbosSexos","Mujeres","Hombres","Region"
37257,76.524200993959,79.535938344319,73.400017240574,"Biobío"
37622,76.791247279231,79.787282516936,73.67937925313,"Biobío"
37987,77.054835626665,80.03501167364,73.955784057692,"Biobío"
38353,77.314947746384,80.279133324018,74.2292055743,"Biobío"
38718,77.571596511483,80.519657037844,74.499620061855,"Biobío"
39083,77.824728009987,80.756594379415,74.767006104177,"Biobío"
39448,78.074395859224,80.989958841219,75.031344593948,"Biobío"
39814,78.320591300485,81.219765777074,75.292618714716,"Biobío"
40179,78.563410541107,81.446032334869,75.55081392112,"Biobío"
40544,78.802913960563,81.668777389036,75.805917917502,"Biobío"
40909,79.03922666542,81.888021472871,76.057920635096,"Biobío"
41275,79.272301789518,82.103786710849,76.306814207968,"Biobío"
41640,79.502057275352,82.316096751025,76.5525929479,"Biobío"
42005,79.728494215809,82.524976697675,76.79525331841,"Biobío"
42370,79.951628671508,82.730453044263,77.034793908111,"Biobío"
42736,80.161261827977,82.925108192412,77.25806061381,"Biobío"
43101,80.367339126412,83.116529864306,77.478473320794,"Biobío"
43466,80.570835177881,83.304743825605,77.696032895899,"Biobío"
43831,80.771589313995,83.48977679623,77.910741563988,"Biobío"
44197,80.969371397338,83.671656399416,78.122602871254,"Biobío"
44562,81.164225728515,83.850411111255,78.331621648185,"Biobío"
44927,81.35607338685,84.026070210784,78.537803972233,"Biobío"
45292,81.544967025428,84.198663730702,78.741157130255,"Biobío"
45658,81.730925451449,84.368222408771,78.941689580769,"Biobío"
46023,81.913962084635,84.534777639974,79.139410916079,"Biobío"
46388,82.094115301928,84.69836142948,79.334331824329,"Biobío"
46753,82.271395927759,84.859006346492,79.526464051527,"Biobío"
47119,82.44581765822,85.016745479009,79.715820363582,"Biobío"
47484,82.617408633211,85.171612389568,79.902414508423,"Biobío"
47849,82.786205278332,85.323641072009,80.086261178225,"Biobío"
48214,82.952222828196,85.472865909297,80.267375971797,"Biobío"
48580,83.115505281257,85.619321632442,80.445775357177,"Biobío"
48945,83.276071892844,85.763043280543,80.621476634478,"Biobío"
49310,83.433953906284,85.904066161998,80.794497899023,"Biobío"
37257,77.977706772703,80.831095989509,74.950181060605,"Metropolitana de Santiago"
37622,78.181578216939,81.026976592009,75.167234959161,"Metropolitana de Santiago"
37987,78.383276907524,81.220330205297,75.38218558989,"Metropolitana de Santiago"
38353,78.582829118613,81.411166966857,75.595024986624,"Metropolitana de Santiago"
38718,78.780100107597,81.599497875275,75.80574619709,"Metropolitana de Santiago"
39083,78.974988872033,81.785334762084,76.014343271417,"Metropolitana de Santiago"
39448,79.167512200376,81.96869026354,76.220811250094,"Metropolitana de Santiago"
39814,79.357657520525,82.149577792376,76.425146151396,"Metropolitana de Santiago"
40179,79.545522109454,82.328011509556,76.627344958336,"Metropolitana de Santiago"
40544,79.731191059617,82.50400629607,76.827405605168,"Metropolitana de Santiago"
40909,79.914657936748,82.677577724806,77.025326963499,"Metropolitana de Santiago"
41275,80.095893396543,82.848742032522,77.221108828026,"Metropolitana de Santiago"
41640,80.274689403145,83.017516091967,77.41475190196,"Metropolitana de Santiago"
42005,80.451208550012,83.183917384166,77.606257782169,"Metropolitana de Santiago"
42370,80.624765481041,83.347963970913,77.795628944069,"Metropolitana de Santiago"
42736,80.812724623767,83.527824957025,78.003480692615,"Metropolitana de Santiago"
43101,80.99823397254,83.704689790289,78.208632613873,"Metropolitana de Santiago"
43466,81.182318387538,83.878585121237,78.411089791135,"Metropolitana de Santiago"
43831,81.36508592442,84.049538308468,78.610858405694,"Metropolitana de Santiago"
44197,81.545554539423,84.217577376384,78.807945704078,"Metropolitana de Santiago"
44562,81.723469552734,84.382730973456,79.00235996522,"Metropolitana de Santiago"
44927,81.898741841854,84.545028331063,79.194110467572,"Metropolitana de Santiago"
