"Periodo","Trabajo","Empleo","Desempleo"
2010-03-01,7883.6864769002,7156.2115762159,9.2275980636192
2010-04-01,7896.5179887001,7198.7773872589,8.836054099283
2010-05-01,7899.8169828685,7181.9028876036,9.0877307261896
2010-06-01,7905.9167093938,7221.5754991687,8.6560640009262
2010-07-01,7931.5872406242,7256.5156757089,8.5111787141127
2010-08-01,7960.8177628928,7289.2212808862,8.4362750412026
2010-09-01,8042.9185349737,7389.4660937311,8.1245686923359
2010-10-01,8042.9631709542,7414.4299927705,7.8146967084653
2010-11-01,8087.4118354209,7503.0922512474,7.2250504372039
2010-12-01,8160.715885142,7572.3177515502,7.2101288890971
2011-01-01,8227.8103542565,7615.5163130165,7.4417617188178
2011-02-01,8233.8569269368,7621.0299460484,7.4427693646653
2011-03-01,8246.3672106043,7623.9218017392,7.5481165580962
2011-04-01,8250.0135465713,7655.095841246,7.2111118602051
2011-05-01,8269.5969681568,7665.5224712091,7.3047634518804
2011-06-01,8296.9397965899,7698.5433083205,7.2122553970482
2011-07-01,8285.2414461042,7659.4265621609,7.5533693014775
2011-08-01,8308.5482345287,7684.1899585944,7.5146494707645
2011-09-01,8323.1622396621,7688.4061613901,7.6263811757401
2011-10-01,8322.0189445768,7703.1361115645,7.4366909896981
2011-11-01,8327.4096433004,7716.8511850455,7.3319133368942
2011-12-01,8356.3548703402,7786.9019035264,6.8146096671283
2012-01-01,8391.7144584784,7816.5534256777,6.853915676547
2012-02-01,8424.0254912163,7874.0737020675,6.5283728037424
2012-03-01,8416.8976043717,7844.7755797468,6.7973028961148
2012-04-01,8419.9565539352,7850.4581172158,6.7636742906146
2012-05-01,8422.9831547103,7838.2731927499,6.9418393842258
2012-06-01,8388.3699921649,7819.5301126655,6.7812921942007
2012-07-01,8367.1204445428,7809.4546329599,6.6649669414834
2012-08-01,8356.2565957025,7809.8886925379,6.5384289832067
2012-09-01,8428.3482412259,7874.0751640024,6.5762953945396
2012-10-01,8455.4917825408,7889.4022450154,6.6949333295345
2012-11-01,8462.8046022515,7924.5935817771,6.3597240604042
2012-12-01,8480.1150520818,7952.2570881446,6.2246556879872
2013-01-01,8520.016386945,7998.6297588403,6.119549592693
2013-02-01,8535.721794248,7993.2969944825,6.354761938598
2013-03-01,8539.4395331519,7990.6858485859,6.4261089083845
2013-04-01,8580.1215587332,8019.0665484377,6.5390100414664
2013-05-01,8579.4729344967,8018.2693896362,6.5412356813197
2013-06-01,8538.8223390041,8004.245891722,6.2605406935358
2013-07-01,8486.0631894059,7986.815194783,5.8831519808406
2013-08-01,8506.0950982593,8008.5767775869,5.8489625959424
2013-09-01,8509.5441536533,8010.8426000782,5.8604966913638
2013-10-01,8537.8254667846,8029.5973675453,5.9526644251095
2013-11-01,8569.7279627002,8067.1273969989,5.8648368756726
2013-12-01,8649.4787333472,8149.3890562756,5.7817319689281
2014-01-01,8713.9686565734,8170.9606102825,6.2314665991056
2014-02-01,8743.658371524,8202.8897930726,6.1846947292971
2014-03-01,8722.8688081573,8156.1959971115,6.4964041476347
2014-04-01,8716.8875590587,8181.3091599605,6.1441471565352
2014-05-01,8706.5974025372,8155.9710294213,6.324242958052
2014-06-01,8686.6155304662,8120.4365313272,6.5178319122478
2014-07-01,8655.7641609921,8084.9925288596,6.5941218073472
2014-08-01,8633.9431613072,8044.548951319,6.8264777631324
2014-09-01,8675.2135379747,8088.7213955562,6.7605499259606
2014-10-01,8709.6172204816,8137.9466656458,6.5636702551218
2014-11-01,8751.5917128902,8207.6918397435,6.2148680033327
2014-12-01,8795.4292791671,8249.6203995932,6.2055968190967
2015-01-01,8807.5786605289,8259.1579295985,6.2266912629249
2015-02-01,8810.6991460019,8263.0910774201,6.2152623703
2015-03-01,8779.0343054458,8232.2001626845,6.2288644027975
2015-04-01,8788.8613056307,8230.2552125792,6.3558414864696
2015-05-01,8806.3559974232,8211.7940889833,6.7515088944151
2015-06-01,8802.7785012298,8215.6134511849,6.6702240657655
2015-07-01,8810.3822194138,8220.8261441951,6.6916061135188
2015-08-01,8829.1192253721,8250.0612020428,6.5585027061965
2015-09-01,8883.3659597865,8302.0385166644,6.5439997153519
2015-10-01,8884.7102046404,8312.069401189,6.4452389584113
2015-11-01,8909.4332823264,8359.2915682528,6.1748227596574
