"Periodo","Poblacion","FuerzaTotal","Ocupados","Desocupados","Cesantes","PrimeraVez","Inactivos"
2010-03-01,13218.219001099,7883.6864769002,7156.2115762159,727.47490068425,634.32092924885,93.153971435402,5334.5325241999
2010-04-01,13235.828000739,7896.5179887001,7198.7773872589,697.74060144115,614.16242052043,83.578180920723,5339.3100120395
2010-05-01,13252.845,7899.8169828685,7181.9028876036,717.91409526489,640.56648861642,77.347606648466,5353.0280171318
2010-06-01,13270.236,7905.9167093938,7221.5754991687,684.34121022505,607.89892174169,76.442288483358,5364.3192906066
2010-07-01,13287.404000002,7931.5872406242,7256.5156757089,675.07156491529,605.98917740482,69.08238751047,5355.8167593784
2010-08-01,13304.972000014,7960.8177628928,7289.2212808862,671.59648200655,598.30752962884,73.288952377716,5344.1542371219
2010-09-01,13322.178000015,8042.9185349737,7389.4660937311,653.45244124256,583.94075407381,69.511687168753,5279.2594650414
2010-10-01,13339.869000016,8042.9631709542,7414.4299927705,628.53317818364,553.16830628801,75.364871895626,5296.9058290622
2010-11-01,13356.955000047,8087.4118354209,7503.0922512474,584.31958417356,509.26495631471,75.054627858851,5269.5431646263
2010-12-01,13374.817000056,8160.715885142,7572.3177515502,588.39813359176,498.84030696392,89.55782662784,5214.1011149143
2011-01-01,13391.933000004,8227.8103542565,7615.5163130165,612.29404123999,508.32031598895,103.97372525104,5164.1226457478
2011-02-01,13409.572000004,8233.8569269368,7621.0299460484,612.82698088842,511.23771039788,101.58927049054,5175.7150730677
2011-03-01,13426.839000005,8246.3672106043,7623.9218017392,622.44540886504,539.12244302685,83.322965838187,5180.4717894007
2011-04-01,13444.433000095,8250.0135465713,7655.095841246,594.91770532533,533.75876686744,61.158938457888,5194.4194535239
2011-05-01,13461.54800006,8269.5969681568,7665.5224712091,604.07449694773,542.03870412957,62.035792818154,5191.9510319034
2011-06-01,13479.195000067,8296.9397965899,7698.5433083205,598.3964882694,534.95607934359,63.440408925805,5182.2552034777
2011-07-01,13496.488000016,8285.2414461042,7659.4265621609,625.81488394333,553.13506663048,72.679817312854,5211.2465539126
2011-08-01,13513.926,8308.5482345287,7684.1899585944,624.35827593422,556.14443596561,68.213839968606,5205.3777654721
2011-09-01,13530.963,8323.1622396621,7688.4061613901,634.7560782719,567.3590781181,67.397000153792,5207.8007603387
2011-10-01,13548.290000001,8322.0189445768,7703.1361115645,618.88283301232,558.94043190716,59.942401105153,5226.2710554242
2011-11-01,13565.238000086,8327.4096433004,7716.8511850455,610.55845825496,536.69792537131,73.860532883647,5237.8283567861
2011-12-01,13582.706000094,8356.3548703402,7786.9019035264,569.45296681375,476.85212355922,92.600843254528,5226.3511297545
2012-01-01,13599.728000153,8391.7144584784,7816.5534256777,575.16103280072,468.67679625486,106.48423654586,5208.0135416749
2012-02-01,13617.057000311,8424.0254912163,7874.0737020675,549.9517891489,448.52156420852,101.43022494037,5193.0315090954
2012-03-01,13634.047000324,8416.8976043717,7844.7755797468,572.12202462498,489.67388937783,82.448135247141,5217.1493959527
2012-04-01,13651.321000218,8419.9565539352,7850.4581172158,569.49843671944,495.42006835839,74.078368361043,5231.3644462829
2012-05-01,13668.447000299,8422.9831547103,7838.2731927499,584.70996196038,523.28405939209,61.42590256829,5245.4638455894
2012-06-01,13685.792000328,8388.3699921649,7819.5301126655,568.83987949936,511.57012287198,57.269756627376,5297.4220081632
2012-07-01,13702.811001488,8367.1204445428,7809.4546329599,557.66581158288,509.51608433318,48.149727249696,5335.6905569454
2012-08-01,13719.163015883,8356.2565957025,7809.8886925379,546.36790316454,499.39900982813,46.968893336407,5362.9064201811
2012-09-01,13734.654016608,8428.3482412259,7874.0751640024,554.27307722349,503.63972462489,50.633352598605,5306.3057753829
2012-10-01,13750.410016471,8455.4917825408,7889.4022450154,566.08953752538,513.40778974143,52.681747783942,5294.9182339305
2012-11-01,13766.030000748,8462.8046022515,7924.5935817771,538.21102047439,480.91989677054,57.291123703849,5303.2253984967
2012-12-01,13781.867000754,8480.1150520818,7952.2570881446,527.85796393727,458.7375051042,69.120458833077,5301.7519486723
2013-01-01,13797.331000717,8520.016386945,7998.6297588403,521.38662810467,433.59837362694,87.788254477728,5277.3146137724
2013-02-01,13813.21500098,8535.721794248,7993.2969944825,542.42479976549,458.04128118637,84.383518579115,5277.493206732
2013-03-01,13828.718000996,8539.4395331519,7990.6858485859,548.75368456598,473.16973411915,75.583950446834,5289.2784678447
2013-04-01,13844.59000296,8580.1215587332,8019.0665484377,561.05501029559,503.88297996555,57.172030330046,5264.468444227
2013-05-01,13860.181002108,8579.4729344967,8018.2693896362,561.20354486047,498.75298941269,62.450555447778,5280.708067612
2013-06-01,13875.929004504,8538.8223390041,8004.245891722,534.57644728208,480.46170127023,54.114746011845,5337.1066655009
2013-07-01,13891.495001383,8486.0631894059,7986.815194783,499.24799462292,451.37825165065,47.86974297227,5405.4318119773
2013-08-01,13907.448000397,8506.0950982593,8008.5767775869,497.51832067248,455.80073633802,41.717584334454,5401.3529021379
