"Periodo","Cambio","Multilateral","Real"
2010-01-01,500.6625,101.4125,89.745361030224
2010-02-01,532.557,106.202,94.258781821158
2010-03-01,523.162608695652,104.719130434783,93.324430459843
2010-04-01,520.624285714286,104.206666666667,93.001801605546
2010-05-01,533.2065,104.709,93.612410248495
2010-06-01,536.668095238095,104.774761904762,93.586937528368
2010-07-01,531.721428571429,105.299523809524,93.715632258787
2010-08-01,509.324090909091,101.610909090909,90.911271753549
2010-09-01,493.933,99.111,88.723061300261
2010-10-01,484.0415,99.069,89.073083499862
2010-11-01,482.316666666667,98.2747619047619,88.912313848883
2010-12-01,474.778095238095,95.9676190476191,87.40232776858
2011-01-01,489.440952380952,99.7833333333333,91.4692280796114
2011-02-01,475.691,97.434,90.0147701120893
2011-03-01,479.652173913044,98.9073913043478,91.3376612267818
2011-04-01,471.32,98.415,91.2885511640663
2011-05-01,467.728636363636,97.8668181818182,90.5220945956404
2011-06-01,469.411904761905,98.462380952381,91.0165981459881
2011-07-01,462.937142857143,97.5285714285714,90.3181442657738
2011-08-01,466.790454545455,98.2568181818182,90.9426131136183
2011-09-01,483.69380952381,99.6271428571429,92.1487528953368
2011-10-01,511.744210526316,104.374736842105,95.9447586329987
2011-11-01,508.437619047619,103.523333333333,94.9975376793801
2011-12-01,517.171904761905,104.272380952381,95.0310889872295
2012-01-01,501.339545454545,101.226818181818,92.8544793577345
2012-02-01,481.488571428571,98.3242857142857,90.1403307122193
2012-03-01,485.395454545454,98.5509090909091,90.7347149987984
2012-04-01,486.001,98.3185,90.600563794564
2012-05-01,497.088095238095,99.2709523809524,91.3037894099444
2012-06-01,505.628095238095,99.9057142857143,91.8148518301653
2012-07-01,491.9345,97.314,89.651075179045
2012-08-01,480.994090909091,95.4709090909091,88.4319215197281
2012-09-01,474.971764705882,95.0652941176471,87.8280064221238
2012-10-01,475.362727272727,95.4204545454545,87.4849735391777
2012-11-01,480.5705,95.988,88.3270822026356
2012-12-01,477.128421052632,95.5594736842105,88.157251594398
2013-01-01,472.668636363636,94.7090909090909,87.5839136223386
2013-02-01,472.3445,94.3075,87.7059891820085
2013-03-01,472.484,93.621,86.5903467930164
2013-04-01,472.137272727273,93.4109090909091,86.7806065037456
2013-05-01,479.582857142857,94.4752380952381,87.8030947363357
2013-06-01,502.886,98.5085,91.318034838953
2013-07-01,504.962272727273,98.2236363636364,90.9263447349121
2013-08-01,512.588571428571,99.7733333333333,92.4327170700603
2013-09-01,504.57,98.2022222222222,90.9175499802798
2013-10-01,500.806363636364,98.3959090909091,90.9270935416716
2013-11-01,519.25,101.162,92.9594435095526
2013-12-01,529.4505,102.775,94.2630049719839
2014-01-01,537.029545454545,103.334090909091,95.3168559471845
2014-02-01,554.4085,106.0585,98.0897641634292
2014-03-01,563.843333333333,107.920476190476,99.28703
2014-04-01,554.640952380952,106.412380952381,97.6412782414197
2014-05-01,555.402,106.68,97.6209378112364
2014-06-01,553.063333333333,105.999523809524,96.9287494185669
2014-07-01,558.208181818182,107.249090909091,97.8536799600745
2014-08-01,579.052,110.489,100.519561652964
2014-09-01,593.468,111.8895,101.046692368345
2014-10-01,589.98,109.847272727273,97.9013872494913
2014-11-01,592.4595,108.874,96.7780278653625
2014-12-01,612.919,110.95831563628,98.6009690800106
2015-01-01,620.909523809524,111.109523809524,97.9755221112076
2015-02-01,623.6175,110.186,97.1244194609596
2015-03-01,628.503181818182,109.003636363636,95.6911110018926
2015-04-01,614.727619047619,107.110476190476,93.4790825864388
2015-05-01,607.596842105263,106.294210526316,92.9608820473869
2015-06-01,629.994761904762,109.569047619048,95.6112315279845
2015-07-01,650.139545454545,111.831818181818,97.3346710017302
2015-08-01,688.115714285714,116.240952380952,100.3374396594
2015-09-01,691.729047619047,115.812857142857,99.2994179996729
2015-10-01,685.314285714286,115.315714285714,98.2958423499059
2015-11-01,704.002380952381,117.198571428571,99.8778967742343
2015-12-01,704.238,115.547,98.435907669001
2016-01-01,721.948,116.046,98.5264381254244
2016-02-01,704.084761904762,113.528571428571,96.5235809734704
2016-03-01,682.067727272727,111.453181818182,94.5801032262657
2016-04-01,669.932380952381,111.142857142857,94.3962197641026
2016-05-01,681.870454545455,112.700909090909,96.1278757811475
2016-06-01,681.071904761905,112.505714285714,96.2054703107396
2016-07-01,657.567142857143,108.153333333333,92.3833940625039
2016-08-01,658.890454545454,109.203636363636,93.2145310686594
2016-09-01,668.632380952381,110.30619047619,94.2942415909616
2016-10-01,663.922105263158,108.889473684211,93.1096655706621
2016-11-01,666.117619047619,107.064285714286,91.6403611888281
2016-12-01,667.168095238095,105.89619047619,91.4166384440751
2017-01-01,661.194285714286,105.653333333333,91.6527751083888
2017-02-01,643.2095,103.852,90.1295039411471
2017-03-01,661.202608695652,106.85652173913,92.385312577194
2017-04-01,655.743333333333,106.415555555556,91.9592676892774
2017-05-01,671.539545454546,109.08,94.1006707030951
2017-06-01,665.153333333333,108.559047619048,93.9218034908745
2017-07-01,658.171428571428,107.852857142857,93.1238606314105
2017-08-01,644.241818181818,106.657727272727,92.247285036589
2017-09-01,625.541578947369,104.261052631579,90.8313192043758
2017-10-01,629.5465,103.9035,90.1696529297066
2017-11-01,633.767619047619,104.397142857143,90.8622268277884
