placa;ver_placa;año_permiso;Tipo_pago;CodSII;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO
FBLX63;1;2024;1a Cuota;;31/05/2024;32397;0;0;PAPEL;30/06/2024
FBLY79;4;2024;1a Cuota;SD1110212;31/03/2024;29991;0;0;ELECTRONICO;31/08/2024
FBPC39;8;2024;TOTAL;CT1760293;01/04/2024;73423;0;0;ELECTRONICO;31/03/2025
FBPC45;2;2024;TOTAL;CT2350133;01/04/2024;134629;0;0;ELECTRONICO;31/03/2025
FBPC55;K;2024;TOTAL;SD500283;25/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FBPC56;8;2024;TOTAL;VN1110182;18/02/2024;200112;0;0;ELECTRONICO;31/03/2025
FBPC61;4;2024;TOTAL;SD1320146;02/04/2024;36530;215;540;ELECTRONICO;31/03/2025
FBPT47;1;2024;TOTAL;SU2270311;12/03/2024;87150;0;0;PAPEL;31/03/2025
FBWS74;5;2024;TOTAL;SU2250068;04/04/2024;94071;553;1390;PAPEL;31/03/2025
FBWT99;7;2024;TOTAL;SU2250071;26/03/2024;96754;0;0;ELECTRONICO;31/03/2025
FBWV41;1;2024;TOTAL;SD500282;06/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FBWW27;2;2024;1a Cuota;CT2350132;20/03/2024;50601;0;0;ELECTRONICO;31/08/2024
FBWY65;8;2024;TOTAL;HB1970158;28/03/2024;42900;0;0;PAPEL;31/03/2025
FBWY98;4;2024;TOTAL;HB1110097;13/03/2024;32333;0;0;PAPEL;31/03/2025
FBY034;8;2024;TOTAL;MT2290169;03/04/2024;33010;194;488;PAPEL;31/03/2025
FBYG31;5;2024;TOTAL;SU2350058;23/03/2024;63232;0;0;PAPEL;31/03/2025
FBZ079;3;2024;1a Cuota;MT2540331;28/03/2024;16167;0;0;ELECTRONICO;31/08/2024
FCB042;5;2024;TOTAL;MT2290238;16/03/2024;32333;0;0;PAPEL;31/03/2025
