"","Date","Open","High","Low","Close","Adj.Close"
"1","2003-12-01",1.203398,1.204007,1.194401,1.196501,1.196501
"2","2003-12-02",1.196101,1.210903,1.1946,1.208897,1.208897
"3","2003-12-03",1.209,1.213003,1.2077,1.212298,1.212298
"4","2003-12-04",1.212004,1.214403,1.204398,1.208094,1.208094
"5","2003-12-05",1.207802,1.219096,1.206593,1.218695,1.218695
"6","2003-12-08",1.216797,1.224005,1.215407,1.222001,1.222001
"7","2003-12-09",1.222105,1.227702,1.219795,1.224995,1.224995
"8","2003-12-10",1.224905,1.226603,1.216205,1.219096,1.219096
"9","2003-12-11",1.219096,1.223496,1.212298,1.222404,1.222404
"10","2003-12-12",1.222703,1.230603,1.2213,1.227898,1.227898
"11","2003-12-15",1.218695,1.232499,1.217804,1.231997,1.231997
"12","2003-12-16",1.231406,1.235895,1.230497,1.232195,1.232195
"13","2003-12-17",1.231997,1.242005,1.229997,1.240202,1.240202
"14","2003-12-18",1.240202,1.244199,1.236598,1.242298,1.242298
"15","2003-12-19",1.242205,1.243503,1.235102,1.238497,1.238497
"16","2003-12-22",1.235697,1.244601,1.235697,1.239895,1.239895
"17","2003-12-23",1.239895,1.267202,1.238804,1.240003,1.240003
"18","2003-12-24",1.240095,1.247194,1.240003,1.245299,1.245299
"19","2003-12-25",1.245702,1.247007,1.244307,1.244803,1.244803
"20","2003-12-26",1.245004,1.2471,1.242699,1.243194,1.243194
"21","2003-12-29",1.243394,1.250797,1.242993,1.248393,1.248393
"22","2003-12-30",1.248595,1.256297,1.248299,1.254894,1.254894
"23","2003-12-31",1.255004,1.264894,1.253007,1.259002,1.259002
"24","2004-01-01",1.259002,1.260796,1.247396,1.258194,1.258194
"25","2004-01-02",1.258194,1.262802,1.252693,1.258194,1.258194
"26","2004-01-05",1.263903,1.269406,1.263695,1.268698,1.268698
"27","2004-01-06",1.268907,1.280803,1.267202,1.272103,1.272103
"28","2004-01-07",1.272394,1.273999,1.262499,1.264095,1.264095
"29","2004-01-08",1.264095,1.278707,1.256502,1.277498,1.277498
"30","2004-01-09",1.277498,1.286703,1.271294,1.285892,1.285892
"31","2004-01-12",1.284802,1.289707,1.273804,1.274096,1.274096
"32","2004-01-13",1.274405,1.279705,1.271892,1.278593,1.278593
"33","2004-01-14",1.278805,1.278805,1.240602,1.265102,1.265102
"34","2004-01-15",1.265599,1.267106,1.256897,1.260097,1.260097
"35","2004-01-16",1.260001,1.261002,1.2364,1.239803,1.239803
"36","2004-01-19",1.238697,1.242406,1.234004,1.235407,1.235407
"37","2004-01-20",1.235102,1.260208,1.234995,1.258907,1.258907
"38","2004-01-21",1.258099,1.266994,1.256597,1.265903,1.265903
"39","2004-01-22",1.265807,1.274892,1.264494,1.272508,1.272508
"40","2004-01-23",1.272394,1.277596,1.257008,1.258305,1.258305
"41","2004-01-26",1.257498,1.261098,1.246106,1.248798,1.248798
"42","2004-01-27",1.248595,1.265999,1.244694,1.263695,1.263695
"43","2004-01-28",1.263408,1.264398,1.242005,1.244199,1.244199
"44","2004-01-29",1.244106,1.252693,1.237103,1.241003,1.241003
"45","2004-01-30",1.241003,1.248502,1.235498,1.246805,1.246805
"46","2004-02-02",1.247598,1.248206,1.239603,1.243302,1.243302
